itemKey,title,ISBN,extra,date,creators
INV3STU7,Mundunculum,,"ID: VCU_ALMA21397329450001101","1967-00-00 1967","Roth, Dieter"
AGH8JJL9,"Mundunculum : leicht korrigierte und erweiterte version des bei Dumont Schauberg Köln 1967 erschienenen Buches",,"[additional worldcat records available- 9/20/21]","1975-00-00 1975","Roth, Dieter"
SFVPRD2C,"Mushroom book",,"OCLC: 463983598","1972-00-00 1972","Cage, John; Smith, Alexander H; Long, Lois"
L8N5DMJI,"Musical book",,,,"Tetenbaum, Barbara"
NFN94392,"Musical economy no 1",,,"1980-00-00 1980","Filliou, Robert"
LHFRZ58Q,"Musings on the vernacular","0-918395-09-7 978-0-918395-09-2",,"1988-00-00 1988","Johnston, Alastair"
FSGBHJDV,"My 9 migraine cures",,,"1987-00-00 1987","Kellner, Tana; Kalmbach, Ann"
PA3AFI96,"My Book Journal: 1980-1982",,,,"Beube, Douglas"
JHFEXWUY,"My collected stamps.",978-91-85752-07-2,"OCLC: 12036693","1979-00-00 1979","Eriksson, Leif"
ZH4HSEYC,"My flag","0-89822-116-1 978-0-89822-116-9",,"1995-00-00 1995","Artists' Books Collection (Library of Congress); Katz, Babette"
ZN5K9PCM,"My Game",,,"0000-00-00 c2003","Almardy Abied, Abd"
BI3QFGVA,"My Heart Belongs to Daddy",,,,"Ligorno, Nora"
MDVM8VU7,"My life in a book",,,"1986-00-00 1986","Deschamps, Francois"
H3UQ9IBD,"My life's an open book",,,"1988-00-00 1988","Drendel, William"
SP8MHI9Z,"My love",,"[additional worldcat records available- 9/20/21]","1971-00-00 1971","Saint-Phalle, Niki de"
FGI58BRN,"My mother's book",0-89822-104-8,,"1993-00-00 1993","Lyons, Joan; Workshop, Visual Studies"
I4GVSYI3,"My name is carrot",,,"2007-00-00 2007","Cushman, Kerri"
Y8MH3M28,"My poetry is the world",,"OCLC: 642989816","2002-00-00 2002","Vries, Herman de"
VR7PDUD5,"My pretty pony",978-0-394-58037-1,"[additional worldcat records available- 9/20/21]","1988-00-00 1988","Kruger, Barbara; King, Stephen; Whitney Museum of American Art (New York)"
L283NSJA,"My twelve steps",,"1 folded leaf ; 16 cm. + 1 card (8 x 11 cm.)
ID: VCU_ALMA21365624300001101","1997-00-00 1997","Martin, Emily"
3NXIX95K,"Ñ",,"OCLC: 84481968","1971-00-00 1971","Katz, Leandro"
WLZDC7AU,Nachtfreudenwalzer,,,"1979-00-00 1979","Brus, Günter"
2837DGZN,"Naked New York: Nan Goldin meets Yukio Kobayashi",,,"1996-00-00 1996","Goldin, Nan; Kobayashi, Yukio; Matsuda, Mitsuhiro"
N2J4MPCW,"Narcissisme appetissant",,,"1982-00-00 1982","Borghesi, Graziella"
35Y7NQGS,Narcissus,,,,"Polansky, Lois"
FXFFKB4H,"Narratology: historical romance, sweet romance, science fiction, romantic suspense, supernatural, horror, sensual romance, adventure, thriller, glitz",,,"1994-00-00 1994","Drucker, Johanna"
PJYXFPFX,"Natural assemblages and the true crow","0-914162-47-0 978-0-914162-47-6",,"1980-00-00 1980","Knowles, Alison"
3WI4U5FX,"Nau em I art bilong yumi",,,"1994-00-00 1994","Weiner, Lawrence"
A7JX4GYM,"Naufragio euforico = Euphoric wreck",,"[additional worldcat records available- 9/20/21] OCLC: 62693409","1974-00-00 1974","Zaza, Michele"
5BQGU27W,"Nepal, 1975",,"[additional worldcat records available- 9/20/21] ""A 20 day walking journey from Dolalghat following the trail to the Everest icefall. Post monsoon season, Nepal, 1975.""; ll/ba","1977-00-00 1977","Fulton, Hamish"
FS72DBX7,Nesso,,,"0000-00-00 N.d.","Fallini, Mario"
5WPXS9QA,"New doors",,,"1985-00-00 1985","Meador, Clifton"
K42IJ883,"New Dryads (are ready for your call)",,,,"Butler, Frances"
YXINDMNI,"New world suite number three: a poem in four movements for three voices",,,"2005-00-00 2005","Bixler, Michael; Center for Book Arts (New York, N.Y.); Henry, Barbara; Bixler, Winifred; Bringhurst, Robert; Kyle, Hedi"
HLVPAIPF,"Nice knees",,,"1981-00-00 1981","Women's Studio Workshop; Kellner, Tana"
72HQSI8H,"Nichtssagender Titel",,,"1985-00-00 1985","Balthaus, Fritz"
G8WUFZVR,"Nigel Rolfe, sculptures in motion, 1976/78.",,,"1978-00-00 1978","Rolfe, Nigel"
INHANUTW,"Night crawlers on the Web",978-1-887123-42-6,"OCLC: 45194074","2000-00-00 2000","Drucker, Johanna"
XYBN2M9W,"Night feet on earth",,"ID: VCU_ALMA21372838890001101","1986-00-00 1986","Campbell, Ken"
3KFD9CQA,"Night sketches",978-0-9564041-5-2,"OCLC: 764563226","2011-00-00 2011","Richter, Gerhard"
Q493YY88,"Night visit to the National Gallery","0-85998-005-7 978-0-85998-005-0",,"1974-00-00 1974","Tót, Endre"
KQT8MA3G,"Night-Shining White",,,"1999-00-00 1999","Eason, Andrew"
RCFNZENY,"Niki de Saint Phalle: the wounded animals.",,"[additional worldcat records available- 9/20/21]","1988-00-00 1988","Saint Phalle, Niki de; Gimpel Fils."
WD64RT2I,"Nine live swimming pools",,,"2011-00-00 2011","Schmidt, Andreas"
7I7NBJKM,"Nine love poems",,,"1995-00-00 1995","Wolf, Arne"
NT97YK5X,"Nine swimming pools and a broken glass.",,,"1968-00-00 1968","Ruscha, Edward"
BZXS5WXX,"Nine swimming pools and a broken glass",,"OCLC: 835478587","1976-00-00 1976","Ruscha, Edward"
N6GXBQRX,"Nine swimming pools behind a broken glass",,,"2010-00-00 2010","Zavod P.A.R.A.S.I.T.E; Lažetič, Tanja"
W5Y2367V,"Nine works by Gerard Hemsworth.: 1973.",,"[additional worldcat records available- 9/20/21]","1974-00-00 1974","Hemsworth, Gerard"
SF9U8DZF,"Nineteen potted palms",,,"2010-00-00 2010","Prioux, Clara"
V6NZC32X,"No caryatids: a collaged text",,,"1982-00-00 1982","Hocks, Paula; Running Women Press"
5WPDFF8U,"No one to call home girl: a book of Chinese American female names",,,"1995-00-00 1995","Som, Indigo"
FTVW6R66,"No progress in pleasure","0-939784-02-5 978-0-939784-02-8","Additional WorldCat entry available at: 
https://www.worldcat.org/title/barbara-kruger-no-progress-in-pleasure/oclc/759028469","1982-00-00 1982","Kruger, Barbara"
YJETMYG6,"No rocks allowed: a book for an exhibition by Haim Steinbach : Witte de With Center for Contemporary Art ... October 17-November 29, 1992",978-90-73362-22-2,,"1992-00-00 1992","Steinbach, Haim; Witte de With, centrum voor hedendaagse kunst"
37CDIL6K,"No talking for seven days: walking for seven days in a wood February full moon cairngorms Scotland 1988",,"OCLC: 22934706","1988-00-00 1988","Fulton, Hamish"
SBHTIS7I,"Noch mehr Scheisse, eine Nachlese. The book of thorn & eth, being footnotes to ""Sweethearts"" and other things,",,"[additional worldcat records available- 9/20/21]","1968-00-00 1968","Williams, Emmett; Roth, Dieter"
B632IAES,"Noeud Gordien",,,"1981-00-00 1981","Firpo, Angioletta"
VTHET2RR,"Nocturnal anthology",,,"1984-00-00 1984","Yarmolinksy, Sirpa"
CYVLC7FR,Nods,,,"1990-00-00 1990","Granary Books (Firm); Gallo, Philip; Press Collection (Library of Congress); Cage, John; Fahrner, Barbara"
Y25UG725,Noise,,"[additional worldcat records available- 9/20/21] OCLC: 77993354","1974-00-00 1974","Vries, Herman de"
F35VD4FQ,"NOMO PROMO HOMO PHOBO",,,"1992-00-00 1992","McCarney, Scott"
Y7QDBVR2,"Non-adhesive binding : book number 128",,"[additional worldcat records available- 9/20/21] Includes bibliographical references (page 286) and index.; ID: VCU_ALMA21403410700001101","1992-00-00 1992","Smith, Keith A."
W9FN5NH7,Non/Diario,,"[no worldcat record found-- 9/20/21]","1981-00-00 1981","Gorreri, Simonetta"
IUR7WI2W,"None of the buildings on sunset strip",978-3-934823-85-3,"[additional worldcat records available- 9/17/21]","2002-00-00 2002","Monk, Jonathan; Keller, Christoph"
ILJTV7CI,Letters,,,"1973-00-00 1973","Benedetto, Vincent"
LWVW793U,"Letters and jazz: for Richard Hamilton, Lester Young, Charlie ""Yardbird"" Parker",,,"1983-00-00 1983","Wewerka, Stefan; Brecht, George"
4XCRMD5D,"Letters from Wittgenstein, abridged in Ghent",978-90-72191-64-9,"[additional worldcat records available- 9/23/21] OCLC: 38099828","1992-00-00 1992","Kosuth, Joseph; Engelmann, Paul"
5MZS38T4,"Letters to Jill: a catalogue and some notes on copying","0-89822-009-2 978-0-89822-009-4","[additional worldcat records available- 9/23/21]","1979-00-00 1979","Hill, Patricia"
BA5CVSPD,Lexicon,,,"1971-00-00 1971","Gojowczyk, Hubertus"
CLP6HQV8,"Lézards sauvages IIa "" égouttés""",,"OCLC: 930949703","1979-00-00 1979","Armleder, John"
VPVI6DEB,"Lexikon der Kunst 1992",978-3-925911-28-6,,"1992-00-00 1992","Schmatz, Ferdinand; Zobernig, Heimo"
TTVHGPT8,"Li Tai Po",,,,"Gosin, Susan"
RT4DSCEZ,Liber,,,"1981-00-00 1981","Miccini, Eugenio"
43WQ2R4X,"Liber mobile; an experimental book.",,,"1967-00-00 1967","Pfeiffer, Werner"
N473UUFX,Liber.,,"[additional worldcat records available- 9/23/21]","1982-00-00 1982","Miccini, Eugenio"
NKALKM6J,"Library book",,,"1993-00-00 1993","Cranston, Meg"
KADUWK7Z,"Library: Book",,,,"Allen, Anne"
5K8HTT8V,"Libro illeggibile N.Y. 1",,,"1967-00-00 1967","Munari, Bruno; Museum of Modern Art (New York, N. Y. )"
LLDIG6ZH,Libro-Seme,,,"1981-00-00 1981","Gut, Elisabetta"
M5K7DZ5T,"Libro-seme (Seed-book)",,,"1983-00-00 1983","Gut, Elisabetta"
NQ5TYN49,"Life and times of Joseph Stalin",,,"1973-00-00 1973","Wilson, Robert"
SZVBBD93,"Life has meaning",,,"1992-00-00 1992","Pawson, Mark"
6NZ6I6GG,"Life in a book","0-89822-048-3 978-0-89822-048-3",,"1986-00-00 1986","Deschamps, F"
5RFGSEZN,"Life like",,,"2006-00-00 2006","Porteous, Susan"
W6XG46FA,"Life time",,,"1996-00-00 1996","Chen, Julie"
RSK2ESAS,"Lifebook 1939-76",,"OCLC: 61551382","1976-00-00 1976-1977","Colby, Sas"
RZHGT7CC,"Light and the pork pie",,,"1972-00-00 1972","Drucker, Johanna"
T7CYJBE6,"Likely stories",,"OCLC: 8396545","1975-00-00 1975","Kaprow, Allan"
2ZW8H4RZ,"Lilac Wind",,,,"Van Vliet, Claire"
P6HBPYHW,"Limited edition",,,"1981-00-00 1981","Agius, Juan J; Da Costa (Firm)"
6M33FMXH,"Limites critiques",,,"1970-00-00 1970","Buren, Daniel"
CFQ39V9H,Limits,978-90-70209-01-8,"OCLC: 10554697","1977-00-00 1977","Gibbs, Michael"
CYW9J7GY,"Linda's book: a tighter version of corrective shoes.",,,"1973-00-00 1973","Parry, Linda"
DDNJVGUE,"Lines & color",,,"1975-00-00 1975","LeWitt, Sol"
LMIDG4YG,"Lines & lines, arcs & arcs, & lines & arcs",,,"1970-00-00 1970","LeWitt, Sol; Ravesteijn, Adriaan van; Beijeren, Geert van; Art & Project"
GC629PKL,"Lines and combinations of lines",,,"1970-00-00 1970","LeWitt, Sol; Ravesteijn, Adriaan van; Beijeren, Geert van; Art & Project"
ZUBAKSXP,"Lines and non-lines",0-930378-02-4,"Cover title; Publisher's number ""3"" on back cover","1977-00-00 1977","Renouf, Edda"
FTLYVU6S,"Lines from walls, 1989-1995.",,"[additional worldcat records available- 9/23/21]","1995-00-00 1995","Cutts, Simon"
28QX2N42,"Lines in two directions and in five colors on five colors with all their combinations",,,"1988-00-00 1988","LeWitt, Sol"
VAT6ZD79,Lire,978-90-72191-15-1,"[additional worldcat records available- 9/23/21] OCLC: 716966815","1990-00-00 1990","Anselmo, Giovanni"
CBSLC2XE,"Lire: un Orlan-corps de livre",,,"1979-00-00 1979",Orlan
2LADP98P,"Lisson Publications: Keith Arnatt ... [et al.] : Lisson Gallery.",,,"1971-00-00 1971","Lisson Gallery (London, England); Arnatt, Keith"
FIEPFC55,"List of exhibits belonging to a woman of Baden-Baden: followed by an explanatory note",,"[additional worldcat records available- 9/23/21]","1973-00-00 1973","Boltanski, Christian"
VK5EFFBF,"Lista degli oggetti personali appartenuti ai passeggeri del volo IH 870: opera di Christian Boltanski",,"OCLC: 820723329","2007-00-00 2007","Boltanski, Christian; Sebaste, Beppe; Malossi, Fabio"
HYLUVTGK,"Listen friend",,,"1976-00-00 1976","Finn, Mike"
5GHN94A7,Listening,,,"1992-00-00 1992","Chen, Julie; Flying Fish Press"
M34QPW5L,Literaturwurst,,,"1966-00-00 1966","Roth, Dieter"
9VFID5UM,Litteralement,,,"1980-00-00 1980","Delrieu, Bernadette"
Q9XSKPSI,"Little Red Riding Hood",,"[additional worldcat records available- 9/23/21]","1971-00-00 1971","Museum of Modern Art (New York, N.Y.); Honegger-Lavater, Warja"
U7WWCIKA,"Livre ceint",,,"0000-00-00 N.d.","Lipszyc, David"
D9VZI45H,"Livre compilatoire",,,"1980-00-00 1980","Leblanc, Anne"
4VVIKYZ8,"Livre de cendres",,,"1984-00-00 1984","Hunzinger, Claude; Hunzinger, Francis"
A3ZGYM3Z,"Livre de terre",,,"1981-00-00 1981","Ponchelet, Marie"
2BLLNIMT,"Little tentative recipe",,,"1969-00-00 1969","Roth, Dieter"
D7IBMTFY,"Living with others",,,"1987-00-00 1987","Heyward, Carl T; Goodrich, Laurence B"
4EXNM463,Living--daytime,,"Text in English, French, or German.; Cover title: Living.","1980-00-00 1980","Holzer, Jenny; Nadin, Peter"
EBLGT5HJ,"Livre en braille.",,,"1970-00-00 1970","Jacquet, Alain"
VD6AZJCK,"Livre enchaine",,,"1982-00-00 1982",Servin
TZ5M6V6J,"Livre ferme pour cause d'inventaire",,,"0000-00-00 c1982","Iscan, Ferit"
WXQ5WVXE,"Livre ficelé",,,"0000-00-00 c1979","Sauze, Max"
INGRR7GH,"Livre nourissant",,,"1981-00-00 1981","Tan, Elisa"
CK6CP66H,"Livre objet",,,"1983-00-00 1983","Cossette, Louise"
RTLFAW5T,"Livre plomb et or -- Genese",,,"1981-00-00 1981-1982","Roussef, Juliette"
3LRHNB8H,"Livre Sein Bol",,,,"Albertini, Anne"
JDAXQTGQ,"Livre Sombre",,,"1983-00-00 1983","Cossette, Louise"
T8IVGSPE,"Livre Temple II",,,"1980-00-00 1980","Zuber, Jean"
LPD9NJD7,"Livre Transparent No2",,,"1983-00-00 1983","Lapeyrere, Marie-Jose"
GX4KTK3I,Livre-boules,,,"0000-00-00 N.d.","Duchene, Gerard"
XCKSWFF3,Livre-Chevet,,,"1982-00-00 1982","Doudeau, Brigitte"
V5D9VYAI,"Livre-Etalon = Standard-book",,,"1982-00-00 1982","Filliou, Robert"
PVIDPB3H,"Livre-objet, A-1",,,"0000-00-00 N.d.","Heibel, Axel"
P9872J8U,"Livres cuits au four",,,"1981-00-00 1981-1982","Aubertin, Denise"
5EMWZPSM,"Livres des sols",,,"1982-00-00 1982","Grisot, Jean"
IUD2BID8,"Livres noirs",,,"1980-00-00 1980","Dautricourt, Joelle"
DAIX5BK4,Loaves,,,"1980-00-00 1980","Finlay, Ian Hamilton; Wild Hawthorn Press; Eaglestone, Howard; Reeve, Antonia"
E3LVUP6J,"Location of three geometric figures",,,"1974-00-00 1974","LeWitt, Sol; Gevaert, Yves"
QNT9PTZZ,"Location piece #2: New York City, Seattle, Washington",,"[additional worldcat records available- 9/22/21]","1970-00-00 1970","Huebler, Douglas"
NZ9V3P8X,Lock,,,"2001-00-00 2001","Ciro, Marcia"
2ZI3RPFL,"Log: May 1974-August 1976",,"[additional worldcat records available- 9/22/21]","1976-00-00 1976","Leo Castelli Gallery; Oldenburg, Claes"
DA6GABIJ,Logbook,,,"1976-00-00 1976","Raworth, Tom"
RQC8KEZU,"Long Slow Screw Alphasex Book",,,"1990-00-00 1990","Freeman, Brad"
MR5W3MHA,"Look at me: a performance",,"[additional worldcat records available- 9/22/21]","1979-00-00 1979","Applebroog, Ida"
BY8WFZV5,"Look out of any window: chance and change situations",,"OCLC: 796839825","1973-00-00 1973","Vries, Herman de"
PHDRZZGQ,"Looking for poetry: tras la poesía","0-85998-400-1 978-0-85998-400-3","[additional worldcat records available- 9/22/21]","1973-00-00 1973","Carrión, Ulises"
U7ABJYBZ,"Looking Glass",,,"1999-00-00 1999","Todaro, Carol"
2FMAJ6SK,"Lucha por la vida = Struggle for life",,"[additional worldcat records available- 9/22/21] Additonal Worldcat entries available at: https://www.worldcat.org/title/lucha-por-la-vida-struggle-for-life/oclc/166322150

https://www.worldcat.org/title/lucha-por-la-vida-struggle-for-life/oclc/162507144

https://www.worldcat.org/title/lucha-por-la-vida-struggle-for-life/oclc/873989838","2001-00-00 2001","Veroni, Ral"
43S7WJ39,Loophole,,"[additional worldcat records available- 9/22/21]","1975-00-00 1975","Stokes, Telfer; Douglas, Helen"
IEXUBARJ,"Los dos lados (Both sides)",,,"1998-00-00 1998","Pecanins, Yani"
DSH6HB9P,"Lost Playground",,,"1985-00-00 1985","Wygonik, Melanie"
UZ82U74S,"Lost property",978-0-9513932-4-6,,"1996-00-00 1996","Lewandowska, Marysia; Cummings, Neil"
IA3NQGQ7,"Lost volume: a catalogue of disasters","978-1-870699-10-5 978-1-870699-11-2",,"1993-00-00 1993","Parker, Cornelia; Woodman, Edward"
VLCM2YLG,"Lotto: an altered book",978-965-222-526-9,,"1994-00-00 1994","Goldstein, Gary; Lotto, Lorenzo; Jewish Museum San Francisco"
IKNM7BKU,"Lourdes, a love story: for Sra. Lourdes Menendez",,,"1989-00-00 1989","Chamberlain, Ann; Díaz-Guerrero, Rogelio"
YVSR3WAX,"Love Letter, Oct. 9, 1966, Sue Baxter to Jon Morse, Dear Jon",,,"1980-00-00 1980","Morse, Jon"
3Z5G7U57,"Lt. Shrapnel: a poem",,,"2000-00-00 2000","Teplin, Scott; Brouwer, Joel R"
9PD9JDDN,"Lui lei",,,"1982-00-00 1982","Roncoroni, Maria; Fanna, Pia"
NII8IAJ6,"Luxon, V.B.: the 1984 Miss General Idea pavillion, no. 101.",,"[additional worldcat records available- 9/22/21]","1973-00-00 1973","General Idea (Firm)"
SW377HPX,M40/1967,,"[additional worldcat records available- 9/22/21]","1976-00-00 1976","Nannucci, Maurizio"
YYLFIT4Q,"Ma collection de proverbes",,"[additional worldcat records available- 9/22/21]  ID: VCU_ALMA21456526960001101","1976-00-00 1976","Messager, Annette"
KJ98ARRY,"Ma collection de tissus",,,"1972-00-00 1972-1973","Messager, Annette"
EJDTPK37,"Ma e solo una parola",,,"0000-00-00 N.d.","Volpi, Letizia"
TE225RJN,"Ma meilleure signature",,,"1972-00-00 1972","Messager, Annette"
F6UVIABD,"Machines: a poem",,"OCLC: 17806787","1986-00-00 1986","Tetenbaum, Barbara; Donaghy, Michael"
UHN6DPNG,"Made in Belgium",,"OCLC: 77887590","1977-00-00 1977","Villers, Bernard"
R2B4T754,"Joni Mabe's museum book: the first museum in book form.",,,"1988-00-00 1988","Mabe, Joni Lee"
Q37ZEZEU,"Journal of the ordinary","0-89822-079-3 978-0-89822-079-7",,"2001-00-00 2001","Visual Studies Workshop; Muirhead, Deborah; Express Press (Rochester, N.Y.)"
RZBYDBAP,"Journal, Dec. 1981 - June 1982",,,,"Richardson, Gordon R."
4QN3KGAP,"Journey of the Mind",,,,"Eller, Evelyn"
W4E8R9X7,"Journey to the surface of the earth;",,,"1970-00-00 1970","Boyle, Mark"
G4FDLKTR,"Journey without title = Utazás cím nélkül","0-89822-114-5 978-0-89822-114-5 963-8095-31-8 978-963-8095-31-2",,"1995-00-00 1995","Czeizel, Balázs"
64GEXCRQ,"Journeys on Diverse Times",,,"1996-00-00 1996","Mesquita, Camila"
C8BR65LU,"July/August exhibition. Juillet/Août exposition. Juli/August Ausstellung.",,"OCLC: 505703","1970-00-00 1970","Siegelaub, Seth"
3IUWW6TC,"Junior senior prom",,,"1984-00-00 1984","Christmastree, Lori"
JHMFIA47,"Just 30 words (interlineary) ; reading between the lines of an actual postcard sent to Hungary from Auschwitz a deported Jew, 1944 Robbin Ami Silverberg",,"[32] S. Ill. 33 cm","2005-00-00 2005","Silverberg, Robbin Ami"
EU2R8H3W,"Just as",,"OCLC: 23116003","1983-00-00 1983","Drucker, Johanna"
VVY2VVZ4,Kaddish,0-89822-113-7,,"1995-00-00 1995","Lukač, Jenni"
